tweet_id,retweet_count,favorite_count
892420643555336193,8034,37364
892177421306343426,5963,32111
891815181378084864,3946,24216
891689557279858688,8190,40657
891327558926688256,8882,38879
891087950875897856,2954,19552
890971913173991426,1951,11412
890729181411237888,17913,62977
890609185150312448,4055,26885
890240255349198849,6987,30813
890006608113172480,6951,29628
889880896479866881,4730,26882
889665388333682689,9514,46446
889638837579907072,4275,26163
889531135344209921,2139,14606
889278841981685760,5089,24369
888917238123831296,4264,28133
888804989199671297,4042,24696
888554962724278272,3342,19134
888078434458587136,3296,21017
887705289381826560,5107,29137
887517139158093824,11120,44713
887473957103951883,17155,66495
887343217045368832,9903,32499
887101392804085760,5659,29527
886983233522544640,7308,33875
886736880519319552,3078,11601
886680336477933568,4227,21663
886366144734445568,3023,20434
886267009285017600,4,116
886258384151887873,5984,27018
886054160059072513,104,0
885984800019947520,6418,31481
885528943205470208,6100,34731
885518971528720385,3539,19748
885311592912609280,17589,0
885167619883638784,4156,21166
884925521741709313,17241,74619
884876753390489601,5315,26925
884562892145688576,4459,23458
884441805382717440,5392,26100
884247878851493888,19397,70365
884162670584377345,2836,19667
883838122936631299,3276,21120
883482846933004288,9406,44339
883360690899218434,3525,21912
883117836046086144,6320,35885
882992080364220416,3722,23094
882762694511734784,4647,27310
882627270321602560,5771,26979
882268110199369728,11005,43372
882045870035918850,4665,28310
881906580714921986,3232,23478
881666595344535552,10139,48891
881633300179243008,7,123
881536004380872706,15171,47728
881268444196462592,4962,22371
880935762899988482,2654,16471
880872448815771648,3633,20557
880465832366813184,5931,27542
880221127280381952,4009,26093
880095782870896641,4124,26696
879862464715927552,3323,21585
879674319642796034,10,301
879492040517615616,3021,22668
879415818425184262,42167,102298
879376492567855104,2964,16249
879130579576475649,6475,0
879050749262655488,4467,21777
879008229531029506,2561,18339
878776093423087618,3920,18753
878604707211726852,6811,29198
878404777348136964,1229,0
878316110768087041,6350,0
878281511006478336,1229,7479
878057613040115712,6475,40664
877736472329191424,18141,76936
877611172832227328,77,0
877556246731214848,3639,21970
877316821321428993,4942,26497
877201837425926144,5326,26216
876838120628539392,3186,20029
876537666061221889,4443,22806
876484053909872640,2279,18170
876120275196170240,4460,27040
875747767867523072,4079,24364
875144289856114688,4707,21230
875097192612077568,5793,26545
875021211251597312,4513,24660
874680097055178752,4436,26962
874434818259525634,13988,0
874296783580663808,3936,25222
874057562936811520,3782,21997
874012996292530176,9906,33450
873580283840344065,3770,23479
873337748698140672,1523,0
873213775632977920,1523,6987
872967104147763200,5179,26478
872820683541237760,3552,14272
872620804844003328,3516,20145
872486979161796608,8658,39535
872122724285648897,7815,33394
871879754684805121,10664,36752
871762521631449091,3352,19695
871515927908634625,3331,19607
871166179821445120,5478,0
871102520638267392,5311,20350
871032628920680449,3674,22084
870804317367881728,5972,32715
870726314365509632,3,118
870656317836468226,2553,12067
870374049280663552,25428,80647
870308999962521604,4021,21310
870063196459192321,8033,35700
869772420881756160,9729,41413
869702957897576449,6121,27561
869596645499047938,3036,15589
869227993411051520,3656,19937
868880397819494401,13997,63983
868639477480148993,2026,0
868622495443632128,5145,26115
868552278524837888,2026,9878
867900495410671616,4064,23673
867774946302451713,7135,33218
867421006826221569,2428,15770
867072653475098625,118,0
867051520902168576,7653,31561
866720684873056260,4681,19644
866686824827068416,3379,18898
866450705531457537,34334,119875
866334964761202691,13988,51480
866094527597207552,8168,0
865718153858494464,5477,25162
865359393868664832,4877,25980
865006731092295680,7489,27496
864873206498414592,8490,31701
864279568663928832,2951,14349
864197398364647424,8701,29584
863907417377173506,4039,20265
863553081350529029,4094,15044
863471782782697472,2388,0
863432100342583297,5126,23436
863427515083354112,94,2205
863079547188785154,1082,8630
863062471531167744,2388,8353
862831371563274240,5038,18883
862722525377298433,3468,16814
862457590147678208,4867,20204
862096992088072192,22788,73370
861383897657036800,10512,35637
861288531465048066,4075,16974
861005113778896900,3747,16499
860981674716409858,2122,0
860924035999428608,796,0
860563773140209665,2122,7425
860524505164394496,5207,23344
860276583193509888,3436,18124
860184849394610176,5773,16487
860177593139703809,30522,0
859924526012018688,4028,19367
859851578198683649,3465,15259
859607811541651456,1547,18409
859196978902773760,29826,89014
859074603037188101,13464,33561
858860390427611136,8045,0
858843525470990336,3455,15426
858471635011153920,4798,21342
858107933456039936,2885,15616
857989990357356544,2571,16024
